PO_ID,PART_GLOBAL_ID,SUPPLIER_ID,QUANTITY,UNIT_PRICE,TOTAL_AMOUNT,PO_STATUS,CREATED_AT,APPROVED_AT,RECEIVED_AT,IS_MAVERICK
PO000167,G000000166,SUP004,338,293.18,99094.84,draft,2025-01-26 00:00:00,,,False
PO000168,G000000167,SUP004,74,357.34,26443.16,received,2025-10-11 00:00:00,2025-10-13 00:00:00,2025-11-26 00:00:00,False
PO000169,G000000168,SUP004,178,351.85,62629.3,approved,2025-11-02 00:00:00,2025-11-03 00:00:00,,False
PO000170,G000000169,SUP003,76,249.99,18999.24,approved,2025-02-26 00:00:00,2025-02-27 00:00:00,,True
PO000171,G000000170,SUP006,414,357.97,148199.58,received,2025-01-09 00:00:00,2025-01-11 00:00:00,2025-02-03 00:00:00,False
PO000172,G000000171,SUP012,225,243.85,54866.25,approved,2025-09-01 00:00:00,2025-09-05 00:00:00,,False
PO000173,G000000172,SUP009,313,62.44,19543.72,received,2025-11-11 00:00:00,2025-11-12 00:00:00,2025-12-22 00:00:00,False
PO000174,G000000173,SUP011,25,41.46,1036.5,received,2025-07-25 00:00:00,2025-07-29 00:00:00,2025-08-11 00:00:00,False
PO000175,G000000174,SUP008,47,406.18,19090.46,received,2025-03-17 00:00:00,2025-03-18 00:00:00,2025-04-02 00:00:00,False
PO000176,G000000175,SUP011,309,253.54,78343.86,received,2025-11-02 00:00:00,2025-11-07 00:00:00,2025-12-02 00:00:00,False
PO000177,G000000176,SUP010,230,58.14,13372.2,approved,2025-12-02 00:00:00,2025-12-07 00:00:00,,False
PO000178,G000000177,SUP004,230,211.43,48628.9,received,2025-06-23 00:00:00,2025-06-27 00:00:00,2025-07-29 00:00:00,False
PO000179,G000000178,SUP002,170,200.64,34108.8,approved,2025-07-11 00:00:00,2025-07-13 00:00:00,,False
PO000180,G000000179,SUP008,44,54.68,2405.92,received,2025-08-10 00:00:00,2025-08-11 00:00:00,2025-09-10 00:00:00,False
PO000181,G000000180,SUP009,40,270.11,10804.4,received,2025-06-18 00:00:00,2025-06-19 00:00:00,2025-07-22 00:00:00,False
PO000182,G000000181,SUP011,491,341.37,167612.67,draft,2025-01-27 00:00:00,,,False
PO000183,G000000182,SUP010,169,167.97,28386.93,received,2025-04-19 00:00:00,2025-04-21 00:00:00,2025-05-28 00:00:00,True
PO000184,G000000183,SUP002,189,382.74,72337.86,received,2025-05-23 00:00:00,2025-05-28 00:00:00,2025-06-18 00:00:00,False
PO000185,G000000184,SUP009,402,371.02,149150.04,approved,2025-11-26 00:00:00,2025-12-01 00:00:00,,True
PO000186,G000000185,SUP011,434,316.66,137430.44,received,2025-05-20 00:00:00,2025-05-23 00:00:00,2025-06-20 00:00:00,False
PO000187,G000000186,SUP003,455,77.31,35176.05,approved,2025-02-05 00:00:00,2025-02-07 00:00:00,,False
PO000188,G000000187,SUP001,56,339.56,19015.36,received,2025-08-03 00:00:00,2025-08-07 00:00:00,2025-09-04 00:00:00,False
PO000189,G000000188,SUP005,379,156.11,59165.69,draft,2025-11-02 00:00:00,,,True
PO000190,G000000189,SUP001,89,83.47,7428.83,approved,2025-12-12 00:00:00,2025-12-13 00:00:00,,False
PO000191,G000000190,SUP011,227,226.26,51361.02,received,2025-05-20 00:00:00,2025-05-22 00:00:00,2025-06-30 00:00:00,False
PO000192,G000000191,SUP007,66,138.21,9121.86,approved,2025-09-07 00:00:00,2025-09-12 00:00:00,,False
PO000193,G000000192,SUP001,122,186.94,22806.68,received,2025-01-04 00:00:00,2025-01-06 00:00:00,2025-02-01 00:00:00,False
PO000194,G000000193,SUP003,401,126.15,50586.15,received,2025-01-04 00:00:00,2025-01-08 00:00:00,2025-02-11 00:00:00,True
PO000195,G000000194,SUP007,282,321.1,90550.2,received,2025-12-09 00:00:00,2025-12-12 00:00:00,2025-12-23 00:00:00,False
PO000196,G000000195,SUP012,31,204.76,6347.56,received,2025-02-09 00:00:00,2025-02-12 00:00:00,2025-03-27 00:00:00,False
PO000197,G000000196,SUP007,373,293.46,109460.58,received,2025-07-27 00:00:00,2025-07-28 00:00:00,2025-08-24 00:00:00,True
PO000198,G000000197,SUP010,245,376.93,92347.85,draft,2025-02-15 00:00:00,,,False
PO000199,G000000198,SUP002,134,204.52,27405.68,received,2025-02-10 00:00:00,2025-02-14 00:00:00,2025-03-12 00:00:00,False
PO000200,G000000199,SUP004,180,353.92,63705.6,received,2025-11-21 00:00:00,2025-11-22 00:00:00,2026-01-01 00:00:00,False
PO000201,G000000200,SUP006,189,331.41,62636.49,approved,2025-03-17 00:00:00,2025-03-19 00:00:00,,False
PO000202,G000000201,SUP005,111,90.47,10042.17,received,2025-12-02 00:00:00,2025-12-03 00:00:00,2025-12-21 00:00:00,False
PO000203,G000000202,SUP011,262,216.82,56806.84,received,2025-10-24 00:00:00,2025-10-28 00:00:00,2025-12-10 00:00:00,False
PO000204,G000000203,SUP010,175,390.95,68416.25,approved,2025-03-19 00:00:00,2025-03-23 00:00:00,,True
PO000205,G000000204,SUP008,333,146.73,48861.09,received,2025-01-29 00:00:00,2025-02-01 00:00:00,2025-03-12 00:00:00,False
PO000206,G000000205,SUP008,241,31.36,7557.76,received,2025-05-27 00:00:00,2025-05-28 00:00:00,2025-06-09 00:00:00,False
PO000207,G000000206,SUP009,206,216.28,44553.68,received,2025-01-22 00:00:00,2025-01-26 00:00:00,2025-03-10 00:00:00,False
PO000208,G000000207,SUP006,319,221.9,70786.1,received,2025-02-01 00:00:00,2025-02-05 00:00:00,2025-02-18 00:00:00,False
PO000209,G000000208,SUP006,375,51.68,19380.0,approved,2025-01-21 00:00:00,2025-01-23 00:00:00,,False
PO000210,G000000209,SUP008,278,242.4,67387.2,received,2025-07-10 00:00:00,2025-07-13 00:00:00,2025-08-13 00:00:00,False
PO000211,G000000210,SUP006,357,275.08,98203.56,approved,2025-11-28 00:00:00,2025-12-01 00:00:00,,False
PO000212,G000000211,SUP002,295,310.1,91479.5,received,2025-12-03 00:00:00,2025-12-08 00:00:00,2025-12-24 00:00:00,True
PO000213,G000000212,SUP010,349,76.52,26705.48,received,2025-12-02 00:00:00,2025-12-06 00:00:00,2025-12-21 00:00:00,False
PO000214,G000000213,SUP002,168,258.13,43365.84,approved,2025-06-18 00:00:00,2025-06-20 00:00:00,,False
PO000215,G000000214,SUP012,360,411.91,148287.6,received,2025-12-10 00:00:00,2025-12-14 00:00:00,2026-01-22 00:00:00,False
PO000216,G000000215,SUP006,168,93.41,15692.88,received,2025-09-06 00:00:00,2025-09-08 00:00:00,2025-09-29 00:00:00,False
PO000217,G000000216,SUP003,49,143.67,7039.83,approved,2025-09-17 00:00:00,2025-09-22 00:00:00,,False
PO000218,G000000217,SUP009,29,302.94,8785.26,draft,2025-11-13 00:00:00,,,False
